job_name,salary,job_exp,skills,job_degree,city,welfare,company
UI设计师,5-8K,1-3年,"['交互设计', '原型设计', '视觉设计', '客户端', '移动端']",大专,石家庄,null,河北摩拓为数字创...
UI设计师,5-6K,1-3年,"['Web端', '移动端', '视觉设计']",学历不限,衡水,"['五险一金', '节日福利']",赵掌门农业科技
UI设计师,4-8K,经验不限,"['交互设计', '原型设计', '视觉设计', '移动端', '图标设计']",本科,邯郸,"['零食下午茶', '员工旅游', '定期体检', '带薪年假', '年终奖']",芯山
UI设计师,6-8K,1-3年,"['UI设计', '交互体验设计', '视觉设计', '动效设计', 'PhotoShop']",本科,贵阳,null,鼎宸魔方科技
UI设计师,4-5K,1-3年,"['原型设计', '视觉设计', '移动端', '网页端']",本科,荆门,"['通讯补贴', '员工旅游', '免费工装', '宿舍有空调', '底薪加提成', '企业年金', '生日福利', '团建聚餐', '股票期权', '包吃', '带薪年假', '绩效奖金', '有无线网', '五险一金', '免费班车', '包住', '年终奖', '交通补助']",湖北群艺
UI设计师,6-9K,3-5年,"['视觉设计', '手绘', 'UI设计', '交互体验设计', '网页设计']",本科,济南,"['五险一金', '股票期权', '入司周年福利', '高温补贴', '年终奖', '节日福利', '交通补助', '定期体检', '零食下午茶', '餐补', '生日福利']",玲珑轮胎有限公司
UI设计师,8-13K·13薪,5-10年,"['UI设计', '交互体验设计', '视觉设计', '移动端', 'PhotoShop']",本科,武汉,"['节日福利', '带薪年假', '员工旅游', '全勤奖', '零食下午茶']",上海昶戈
UI设计师,20-30K·14薪,5-10年,"['视觉设计', 'UI设计', '动效设计', '交互体验设计', '全职']",本科,北京,"['年终奖', '带薪年假', '加班补助', '定期体检', '交通补助', '餐补', '零食下午茶', '股票期权', '通讯补贴', '包吃', '五险一金', '节日福利']",蜂巢世纪
UI设计师,4-5K,经验不限,"['UI设计', 'PC端', '网页设计', '交互体验设计', '视觉设计']",大专,南充,"['节日福利', '加班补助', '通讯补贴', '包吃', '免费班车', '交通补助', '餐补', '补充医疗保险', '零食下午茶', '全勤奖', '住房补贴', '五险一金', '员工旅游']",出海易
UI设计师,4-6K,1-3年,"['移动端', '小程序', 'UI设计', '交互体验设计', '全职']",大专,淮北,"['带薪年假', '节日福利', '五险一金', '年终奖']",恪宁网络
UI设计师,13-15K·14薪,3-5年,"['移动端', '交互体验设计', 'PhotoShop']",本科,南京,"['零食下午茶', '五险一金', '节日福利']",哈哈云
